participant_id,sheet_name,item_number,stimulus_target,asr_start_time,asr_end_time,draft_asr_text,FINAL_AUDIT_TRANSCRIPTION,notes
38012-2A,38012-2A,1,Quiero cortarme el pelo (7),740.22,742.46,Quiero cortar el pelo.,Quiero corta el pelo.,
38012-2A,38012-2A,2,El libro está en la mesa (7),747.16,749.46,El libro está en la mesa.,El libo está en la mesa.,
38012-2A,38012-2A,3,El carro lo tiene Pedro (8),754.7,756.76,El carro lo tiene a pelo.,El carro lo tiene a pelo.,
38012-2A,38012-2A,4,El se ducha cada mañana (9),762.58,764.54,Él se duche cada mañana.,Él se duche cada mañana.,
38012-2A,38012-2A,5,¿Qué dice usted que va a hacer hoy? (9),767.78,769.94,¿Qué dice usted que va a hacer hoy?,¿Qué diceo usted que va a hacer hoy?,
38012-2A,38012-2A,6,Dudo que sepa manejar muy bien (10),771.88,773.94,Quiriso se que paseroy.,Duro ... seka lleesar s ... bien,
38012-2A,38012-2A,7,Las calles de esta ciudad son muy anchas (11),780.86,785.06,Duro se que lesar tambien.,Lakayoae [ss-]sientea ... mh los cales,
38012-2A,38012-2A,8,Puede que llueva mañana todo el día (12),790.54,805.84,La calle siente los calles altos y el pueblo se quiere callar.,publou ye ke ... sike ... yekaye,
38012-2A,38012-2A,9,Las casas son muy bonitas pero caras (12),807.82,811.14,"Las casas son muy bonitas, pero nada.",Las casas son bonita pero caras.,
38012-2A,38012-2A,10,Me gustan las películas que acaban bien (12),812.74,816.26,Las casas son bonitas pero caras.,Me gustan las películas de pegar bien,
38012-2A,38012-2A,11,El chico con el que yo salgo es español (13),824.48,828.38,Me gustan las películas de pegar bien., El chico [es-]essbanalio ... español.,
38012-2A,38012-2A,12,Después de cenar me fui a dormir tranquilo (13),828.38,853.26,"bien. El chico es español. Después, llegar, dormir,","Después, llegar, dormir, ahn ...",
38012-2A,38012-2A,13,Quiero una casa en la que vivan mis animales (14),860.76,865.52,Quiero la casa esta a mi animales.,Quiero la casa esta a mi animales.,
38012-2A,38012-2A,14,A nosotros nos fascinan las fiestas grandiosas (14),873.82,879.32,A nosotros fascinabas a los nosotros.,A nosotros fascinabas ... a los nosotros.,
38012-2A,38012-2A,15,Ella sólo bebe cerveza y no come nada (15),888.08,896.86,Ellos son los vecinos de mi casa.,Ellos ll ... los convos ... de lo o mis ...,
38012-2A,38012-2A,16,Me gustaría que el precio de las casas bajara (15),901.56,918.3,Me gustaría que los huesos de estas llanas cruzaran a la derecha.,Me gustaría que los huesos de estas llanas ... ,
38012-2A,38012-2A,17,Cruza a la derecha y después sigue todo recto (15),929.64,936.1,He terminado después el comentario.,cruzaran a la derecha ... ahm ... mm ...,
38012-2A,38012-2A,18,Ella ha terminado de pintar su apartamento (15),942.04,949.52,Me gustaria hacer pingatas esta... me gustaria pronto.,Eaa terminado [m-]eslpinto su apartamento,
38012-2A,38012-2A,19,Me gustaría que empezara a hacer más calor pronto (15),949.52,971.26,pronto. El niño sirio gato es tan muy triste. Una,Me gustaria hacer pingatas esta ... gustaria pronto,
38012-2A,38012-2A,20,El niño al que se le murió el gato está triste (16),971.26,975.82,Una amiga picado en mi piscina.,[El nino-]El niño sirio gato es tan muy triste.,
38012-2A,38012-2A,21,Una amiga mía cuida a los niños de mi vecino (16),985.26,991.6,El gato sin señal negro y el lapero.,Una amiga ... mía cuida a los niños de mi vecino,
38012-2A,38012-2A,22,El gato que era negro fue perseguido por el perro (16),998.74,1004.08,Quiero que se limpien tus cuartos.,El gato sin ... señal negro y el lapero ...,
38012-2A,38012-2A,23,Antes de poder salir él tiene que limpiar su cuarto (16),1015.74,1021.26,La Cantina de las Layas afortuna a las personas.,"keselmpia ... tus, kuarto ...",
38012-2A,38012-2A,24,La cantidad de personas que fuman ha disminuido (17),1031.28,1037.2,"Después de llegar a mi casa, voy a la cena.",La Cantina de..las Layas afortuna a las personas.,
38012-2A,38012-2A,25,Después de llegar a casa del trabajo tomé la cena (17),1046.9,1049.06,Policía era famoso.,"Después de llegar a mi casa, voy a ... la cena.",
38012-2A,38012-2A,26,El ladrón al que atrapó la policía era famoso (17),1061.78,1067.44,Le pide una mega.,Policía era famoso ...,
38012-2A,38012-2A,27,Le pedí a un amigo que me ayudara con la tarea (17),1077.98,1085.02,El tarea esta no dificil para derecha.,Le pide ... una [m-]mega ...,
38012-2A,38012-2A,28,El examen no fue tan difícil como me habían dicho (17),1093.12,1095.62,¿Qué está en la mesa?,"... sorry, eh tarea esta no dificil para derecha.",
38012-2A,38012-2A,29,¿Serías tan amable de darme el libro que está en la mesa? (17),1097.32,1098.96,Este libro.,¿Qué está en ... la mesa ... Este libro. somethinglikethat ... mesa,
38012-2A,38012-2A,30,Hay mucha gente que no toma nada para el desayuno (17),1100.38,1102.34,"Son, están en la mesa.","Hay muchos ejemplos, pero ... mm ...",
38012-2A,38012-2A,UNASSIGNED_31,,1107.56,1111.24,"Hay muchos ejemplos, pero...",,Extra segment picked up by ASR
