participant_id,sheet_name,item_number,stimulus_target,asr_start_time,asr_end_time,draft_asr_text,FINAL_AUDIT_TRANSCRIPTION,notes
38011-1A,38011-1A,1,Quiero cortarme el pelo (7),150.68,152.58,Quiero cortarme el pelo.,Quiero coltarme el pelo.,
38011-1A,38011-1A,2,El libro está en la mesa (7),153.94,155.58,El libro está en la mesa.,El libro está entla mesa.,
38011-1A,38011-1A,3,El carro lo tiene Pedro (8),157.66,159.46,El libro está en la mesa.,El carro no tiene pelo.,
38011-1A,38011-1A,4,El se ducha cada mañana (9),161.66,162.92,El carro no tiene pelo.,Él se ducha ... cada mañana.,
38011-1A,38011-1A,5,¿Qué dice usted que va a hacer hoy? (9),165,167.08,El carro no tiene pelo.,¿Qué se usted k va a hacer hoy?,
38011-1A,38011-1A,6,Dudo que sepa manejar muy bien (10),167.08,193.38,hacerlo. Él se ducha cada mañana. ¿Qué dice usted que va a hacer hoy? Dudo que se,Duvoo ... [q-]sue se  manejar bien.,
38011-1A,38011-1A,7,Las calles de esta ciudad son muy anchas (11),193.38,194.5,Hace manejar bien.,Las calles enesta [m-]muanchas ... anchas.,
38011-1A,38011-1A,8,Puede que llueva mañana todo el día (12),196.24,199.1,Las calles de esta ciudad son muy anchas.,Puede kea mañana tora día,
38011-1A,38011-1A,9,Las casas son muy bonitas pero caras (12),201.3,205.7,Las calles han salido muchas años.,Lascasas son muy bonitas pero caras.,
38011-1A,38011-1A,10,Me gustan las películas que acaban bien (12),208.38,210.2,Puede que llueva mañana todo el día.,Me gustalas películas que acaban bien.,
38011-1A,38011-1A,11,El chico con el que yo salgo es español (13),212.34,214.84,Puede que llueva mañana todo el día.,¿El chico conetivo ... salgo ... esta bien?,
38011-1A,38011-1A,12,Después de cenar me fui a dormir tranquilo (13),218.5,221.7,Las casas son muy bonitas pero caras.,"Después de cenar, me fui ... a [p-]foner tranquilo.",
38011-1A,38011-1A,13,Quiero una casa en la que vivan mis animales (14),230.5,233.32,Me gustan las películas que acaban bien.,Quiero una casa que vivan ... a mis animales.,
38011-1A,38011-1A,14,A nosotros nos fascinan las fiestas grandiosas (14),235.46,238.1,Me gustan las películas que acaban bien.,A nosotros que las vistas ...,
38011-1A,38011-1A,15,Ella sólo bebe cerveza y no come nada (15),242.44,245.26,El chico con el que yo salgo es español.,Ella solo se besa e como ...,
38011-1A,38011-1A,16,Me gustaría que el precio de las casas bajara (15),247.36,252.56,¿El chico con el que yo salgo está bien?,Me gustaría ... los precios dee kodosplaa  ... ,
38011-1A,38011-1A,17,Cruza a la derecha y después sigue todo recto (15),254.36,257.36,Después de cenar me fui a dormir tranquilo.,Cruza a la derechaa siga ... derecho.,
38011-1A,38011-1A,18,Ella ha terminado de pintar su apartamento (15),259.96,265.58,"Después de cenar, me fui a poner tranquilo.",Ea terminal ... lllosa ... apartoamento.,
38011-1A,38011-1A,19,Me gustaría que empezara a hacer más calor pronto (15),272.46,276.12,Quiero una casa que vivan a mis animales.,Me gustaría lasaacer ... pronto,
38011-1A,38011-1A,20,El niño al que se le murió el gato está triste (16),279.58,282.84,A nosotros nos hacen las vistas grandiosas.,El niño que se murió el gaato está triste.,
38011-1A,38011-1A,21,Una amiga mía cuida a los niños de mi vecino (16),284.9,288.3,A nosotros que las vistas...,Una amiga viene ... cuidar a los niños amp vecino.,
38011-1A,38011-1A,22,El gato que era negro fue perseguido por el perro (16),293.2,296.18,Ella solo bebe cerveza y no come nada.,El gatoo ... era negro eee l ... perroo,
38011-1A,38011-1A,23,Antes de poder salir él tiene que limpiar su cuarto (16),298.14,302.76,Ella solo se besa y como...,Antes de quee ... salir ... fue de ... cuarto?,
38011-1A,38011-1A,24,La cantidad de personas que fuman ha disminuido (17),306.78,310,Me gustaría que el precio de las casas bajara.,La cantidad de llas personas fumank misadio.,
