participant_id,sheet_name,item_number,stimulus_target,asr_start_time,asr_end_time,draft_asr_text,FINAL_AUDIT_TRANSCRIPTION,notes
38015-1A,38015-1A,1,Quiero cortarme el pelo (7),155.12,157.28,El libro está en la mesa.,Quiero cortarme eb pelo.,
38015-1A,38015-1A,2,El libro está en la mesa (7),162.44,164.66,El carro no tiene pelo.,El libro está en la mesa.,
38015-1A,38015-1A,3,El carro lo tiene Pedro (8),170.68,172.78,El se ducha cada mañana.,El carro no tiene pelo ehh...,
38015-1A,38015-1A,4,El se ducha cada mañana (9),179.86,182.28,¿Qué dice ustedes que va a hacer hoy?,El se ducha cada mañana.,
38015-1A,38015-1A,5,¿Qué dice usted que va a hacer hoy? (9),182.28,211.08,hoy. Tuvo que sepa manejar bien. Las calles de esta ciudad son muy anchas. Puede que lleve,¿Qué dice ustedes que va a hacer hoy.,
38015-1A,38015-1A,6,Dudo que sepa manejar muy bien (10),211.08,212.32,Lleva mañana todo el día.,Tuvo que sepa manejar bien.,
38015-1A,38015-1A,7,Las calles de esta ciudad son muy anchas (11),220.96,224.36,Las casas son muy bonitos pero caras.,Las casas de esta ciudad son muy ... anchas.,
38015-1A,38015-1A,8,Puede que llueva mañana todo el día (12),232.62,235.68,Me gusta las películas que acaban bien.,Puede kkeva mañana todo el día.,
38015-1A,38015-1A,9,Las casas son muy bonitas pero caras (12),235.68,248.02,bien. El chico con esto algo es español.,Las casas son muy bonitos pero caras.,
38015-1A,38015-1A,10,Me gustan las películas que acaban bien (12),255.18,261.04,"Después de cenar, me fui a dormir tranquilo.",Me gustan las películas que acaban bien,
38015-1A,38015-1A,11,El chico con el que yo salgo es español (13),269.32,272.26,Quiero una casa en la que vivan mis animales.,El chico con esto algo es español.,
38015-1A,38015-1A,12,Después de cenar me fui a dormir tranquilo (13),272.26,285.96,animales. A nosotros nos fascinan las fiestas grandes.,Después de cenar me fui ad dormir tranquilo,
38015-1A,38015-1A,13,Quiero una casa en la que vivan mis animales (14),295.74,300.14,Ella solo bebe cerveza y come nada.,Quiero una casa en la que vivan mis animales,
38015-1A,38015-1A,14,A nosotros nos fascinan las fiestas grandiosas (14),309.62,312.34,Me gustaría las preciosas cajas.,A nosotros nos fascinan las fiestas grandiosas,
38015-1A,38015-1A,15,Ella sólo bebe cerveza y no come nada (15),323.9,327.04,cruza a la derecha y sigue el todo resto.,Ea sólo pebe cerveza y no come nada,
38015-1A,38015-1A,16,Me gustaría que el precio de las casas bajara (15),336.8,341.36,Esto ha terminado a pintar su apartamento.,Me gustaría que el precio de las casas ...,
38015-1A,38015-1A,17,Cruza a la derecha y después sigue todo recto (15),348.68,355.12,pronto. Me gustaría hacer más calor pronto.,Crusa alaa erecha espués sigue todo resto,
38015-1A,38015-1A,18,Ella ha terminado de pintar su apartamento (15),363.8,369.7,El niño que se murió al gato y está triste.,Eo aa terminado a pintar ssu apartamento,
38015-1A,38015-1A,19,Me gustaría que empezara a hacer más calor pronto (15),369.7,394.22,triste. Una amiga me cuidaba a los niños. El gato,Me gustaría empezr ... más calor pronto,
38015-1A,38015-1A,20,El niño al que se le murió el gato está triste (16),394.22,396.88,Cuando un negro fuera perseguido por el perro.,El niño ... que se murió e gasto está triste,
38015-1A,38015-1A,21,Una amiga mía cuida a los niños de mi vecino (16),408.22,412.78,"Antes de detener salir, limpiar el cuarto.",Una amiga mía cuida a los niños de mi vecino.,
38015-1A,38015-1A,22,El gato que era negro fue perseguido por el perro (16),422.6,430.18,La cantidad de personas que fuman es...,El gato que era negro fue perseguido purperro ,
38015-1A,38015-1A,23,Antes de poder salir él tiene que limpiar su cuarto (16),439,444.72,"Después de llegar a la casa, después del trabajo, come la cena.",Antes de poder salir ... él tiene que limpiar su cuarto ,
38015-1A,38015-1A,24,La cantidad de personas que fuman ha disminuido (17),454.6,459.7,El ladrón que atrapó con la publicidad era famosa.,La cantidad [d-]de personas que ffuman s ...,
38015-1A,38015-1A,25,Después de llegar a casa del trabajo tomé la cena (17),470.88,475.5,Le pedí a un amigo que me ayude en la tarea.,Después de llegar a casa delrabajo komé la cena,
38015-1A,38015-1A,26,El ladrón al que atrapó la policía era famoso (17),486.96,491.46,"El pruebo no fue difícil, me han dicho.",El ladrón que atrapó la policía era famoso,
38015-1A,38015-1A,27,Le pedí a un amigo que me ayudara con la tarea (17),491.46,506.7,hecho. Serías tan amable puede darme el libro en,Lee pedí a un amigo ... que me audara con laparea,
38015-1A,38015-1A,28,El examen no fue tan difícil como me habían dicho (17),506.7,519.42,en el mesa. Hay mucha gente que no toma nada para el,El provo no fue difícil me habían dicho,
38015-1A,38015-1A,29,¿Serías tan amable de darme el libro que está en la mesa? (17),519.42,519.98,desayuno.,¿Serías tan amable pudarme el libro ena mesa?,
38015-1A,38015-1A,30,Hay mucha gente que no toma nada para el desayuno (17),,,,Hay mucha gente que no toma nada para el desayuno,
